ID,Title,Text,Status
1636948,House Seat Assignment,"








A HOUSE RESOLUTION

TO PROVIDE A PROCEDURE FOR ALLOTTING SEATS TO MEMBERS OF THE HOUSE OF REPRESENTATIVES FOR THE 2023 AND 2024 SESSIONS OF THE GENERAL ASSEMBLY.

Be it resolved by the House of Representatives:

That for the purposes of allotting seats to members of the House of Representatives for the 2023 and 2024 Sessions of the General Assembly, the following procedure is adopted:

As soon as practicable, after the House has been organized, the seats of the members must be allotted as follows:

The Clerk shall prepare a ballot for each county with only its name printed on it. These must be put in a closed box. The Speaker shall then direct a person or persons to draw them out, one by one. As each ballot is drawn, the delegation from that county shall select their seats, in accordance with the county in which the member resides. In the event a member's district consists of more than one county, the member may elect to be seated with the delegation the member desires, provided the member indicates the preference to the Clerk of the House prior to balloting. No delegation may select more than one seat on the main aisle.

Be it further resolved that when the House adopts its rules for the 2023 and 2024 Sessions of the General Assembly, they shall incorporate the above provision as part of the Rules of the House of Representatives with an appropriate numerical designation.
----XX----
",Passed
1650481,Robert Mitchum,"








A senate RESOLUTION

TO RECOGNIZE AND HONOR robert mitchum as one of the greatest motion picture stars of the twentieth century.

Whereas, the members of the South Carolina Senate are pleased to recognize the celebrated actor, Robert Mitchum, as one of the greatest motion picture stars of the twentieth century; and

Whereas, a native of Bridgeport, Connecticut, Robert Mitchum was born on August 6, 1917, to parents Annie Gunderson and James Mitchum, a native of the town of Lane, in Williamsburg County, South Carolina; and

Whereas, during the Great Depression, young Robert Mitchum left home to lessen the financial burden on his family. In 1933, he was arrested for vagrancy and sentenced to thirty days on a chain gang. He escaped the chain gang and made his way to a farm owned by his aunt and uncle, Idell and Alfred Mitchum, in Lane, South Carolina; and

Whereas, in the mid-1930s, Robert Mitchum moved to the West Coast, where he began his career in Hollywood as a writer and actor. He started winning roles in cowboy movies in 1943. In 1944, he co-starred with Spencer Tracy in Thirty Seconds Over Tokyo. The following year, he co-starred with Burgess Meredith in The Story of G.I. Joe and was nominated for an Oscar for Best Supporting Actor; and

Whereas, after his Oscar nomination, Robert Mitchum's career exploded and he became one of the biggest stars of the twentieth century, making over eighty motion pictures until his death in 1997; and

Whereas, over the years, Robert Mitchum maintained contact with his Williamsburg family. He invited them to Asheville, North Carolina in 1957 when he filmed Thunder Road. The same year, he was interviewed for a column by Earl Wilson. When Wilson asked him where he was from, Robert Mitchum replied, ""I'm from Lane, South Carolina""; and

Whereas, three years later, Robert Mitchum was in Savannah making Cape Fear and invited his relatives to visit, and many came. He also hired his cousin, Douglas Mitchum, Idell and Alfred's son, to be his driver during the filming; and

Whereas, Robert Mitchum married Dorothy Spencer in 1940, and together they had three children; and

Whereas, with a historical marker in the park in Lane and designation of a week-long Robert Mitchum Film Festival, Williamsburg County celebrates this great actor and claims him as truly one of our own; and

Whereas, the members of the South Carolina Senate greatly appreciate the dedication and commitment that Robert Mitchum has shown in serving the people and the State of South Carolina. Now, therefore,

Be it resolved by the Senate:

That the members of the South Carolina Senate, by this resolution, hereby recognize and honor Robert Mitchum as one of the greatest motion picture stars of the twentieth century.

Be it further resolved that a copy of this resolution be presented to the family of Robert Mitchum.
----XX----
",Passed
1650606,Lavel Davis Jr.,"








A senate RESOLUTION

TO EXPRESS PROFOUND SORROW UPON THE PASSING OF Lavel ""Tyler"" Norman Davis, Jr. AND TO EXTEND THE DEEPEST SYMPATHY TO HIS FAMILY AND MANY FRIENDS.

Whereas, the members of the South Carolina Senate were deeply saddened to learn of the death of Lavel ""Tyler"" Norman Davis, Jr., who passed away on November 13, 2022 at Charlottesville Memorial Hospital in Charlottesville, Virginia; and

Whereas, a native of Ridgeville, Tyler was born on January 7, 2002 to parents Thaddeus Lavel Davis and Fallom Simone Davis; and

Whereas, the eldest of three children, Tyler was a kind-hearted, thoughtful, and caring young man who loved God. He grew up in a loving home with strong Christian values; and

Whereas, Tyler sang in the church choir, was an active member of the Young People's Department, and was faithful in attending youth church and Sunday School. A young man with a servant's heart and contagious smile, Tyler loved helping others and desired to be an impactful leader; and

Whereas, a devout Christian, Tyler committed his life to the Lord before leaving for college. In 2019, he confessed his hope in Christ at Bethel AME Church under the leadership of Pastor Arthur B. Glover. Tyler was inquisitive about God, always asking about the Bible and the Holy Scriptures; and

Whereas, Tyler was educated in Dorchester County School District Four. He attended Harleyville-Ridgeville Elementary, Clay Hill Elementary, Harleyville-Ridgeville Middle and Woodland High Schools. From his earliest age, Tyler excelled both academically and athletically, and for his good works he received numerous academic and athletic awards; and

Whereas, throughout high school Tyler maintained a 3.577 GPA and A-B Honor Roll status. He was also an active participant in the Athletics Leading in Literacy Program. The recipient of multiple football scholarships, Tyler's hard work on and off the field gave him the opportunity to continue his dreams of playing football at the collegiate level. After graduating from Woodland High in 2020, Tyler honored his commitment to play for the University of Virginia in Charlottesville; and

Whereas, Tyler was a gifted student and an All-American athlete who played football, soccer, basketball, and ran track. As a freshman wide receiver, he started seven games for the University of Virginia Cavaliers and averaged 25.8 yards per catch, the second most yards per catch in the nation. He helped the Cavaliers win their season opener against Duke University and was named Atlantic Coast Conference ""Receiver of the Week"" and two-time ""Rookie of the Year""; and

Whereas, Tyler was expected to graduate in December of 2023 with a bachelor's degree in African American Studies. He dreamed of one day making it to the NFL and opening a local Boys & Girls Club. He earnestly wanted to make a difference, and he did so in many ways; and

Whereas, Tyler leaves to cherish his memory his parents, Thaddeus Lavel Davis and Fallom Simone Davis; siblings Taniya Skylar and Teigan Jeremiah Hollins Davis; maternal grandparents Monroe and Cynthia Lampkin; paternal grandparents Thaddeus (Deloris) Davis and Linda Varner; paternal great-grandfather Herman Davis; Aunts Kwamie Green, Monica Alford, and Angelina (LeQuincy) Polite; Uncles Jarrett (Bernadette) Lampkin, Le'Rico Moultrie, and Brian Davis; first cousins Leanna, Taylor, Travon, Tyliyah, LeQuincy, Daquan, Michael, Ala'Yah, Jauri, Alicia, Braylin, Myles, and Alivia; lifelong best-friend Rylan Ashe; Godmother Laquita ""NeNa"" Davis; and a host of other family members and friends. He will be greatly missed. Now, therefore; and

Be it resolved by the Senate:

That the South Carolina Senate, by this resolution, express profound upon the passing of Lavel ""Tyler"" Norman Davis, Jr. and extend the deepest sympathy to his family and many friends.

Be it further resolved that a copy of this resolution be presented to the family of Lavel ""Tyler"" Norman Davis, Jr.
----XX----
",Passed
1650629,David Aylor Sympathy,"








A Senate RESOLUTION

TO EXPRESS PROFOUND SORROW UPON THE PASSING OF David Aylor AND TO EXTEND THE DEEPEST SYMPATHY TO HIS FAMILY AND MANY FRIENDS.

Whereas, the members of the South Carolina Senate were deeply saddened to learn of the death of the prominent Lowcountry attorney, David Aylor, on January 2, 2023; and

Whereas, a native of Spartanburg, Mr. Aylor was born on January 6, 1981  to parents Lawrence ""Pete"" Keith Aylor and Jean Fletcher Aylor. Mr. Aylor received a bachelor's degree in Political Science from the College of Charleston in 2002 and a Juris Doctor degree from the University of South Carolina School of Law in 2006; and

Whereas, Mr. Aylor began his career by working as a clerk for the South Carolina Senate Judiciary Committee, under Senator Glenn McConnell, for United States Magistrate Judge Robert S. Carr as well as for attorney Andrew J. Savage, III in Charleston. He then began his legal career by serving as an Assistant Solicitor in the Ninth Circuit Solicitor's Office for Charleston County; and

Whereas, in 2009, Mr. Aylor founded his law firm, David Aylor Law Offices, which he grew over the years to a team of twenty-two staff members and six locations around South Carolina. Through this firm, he and his staff of attorneys served over ten thousand clients in the Lowcountry of South Carolina and beyond. From his love of motorcycles, he also established Riders Law Group to provide representation for injured motorcyclists; 

Whereas, in the courtroom, Mr. Aylor was a well-respected trial attorney. Two of his trials were featured in Dateline NBC episodes, and his high-profile casework has been covered in countless other media outlets at the local and national level; and

Whereas, outside of running his law practice, Mr. Aylor taught Criminal Justice as an adjunct professor at the College of Charleston and Trident Technical College and was appointed acting Prosecutor for the City of Hanahan. For the past couple of years, once a month, David ate lunch with a student from Hanahan Elementary School as a lunch buddy; and

Whereas, a civic leader, Mr. Aylor served with many community organizations, including Going Places, Communities in Schools of South Carolina, Be a Mentor, Charleston Animal Society, Charleston Hispanic Association, Boy Scouts of America, Birthdays for All, Push-Up & Up, Toys for Tots, and so many more; and

Whereas, David Aylor leaves to cherish his memory his parents; two brothers, John William Aylor (Lea) and Andrew ""Drew"" Lawrence Aylor; one son, Fletcher Jacob Aylor; and his niece, Aria Marie Aylor. He will be greatly missed. Now, therefore,

Be it resolved by the Senate:

That the members of the South Carolina Senate, by this resolution, express profound sorrow upon the passing of David Aylor and extend the deepest sympathy to his family and many friends.

Be it further resolved that a copy of this resolution be presented to the family of David Aylor.
----XX----
",Passed
1650653,Arthur Murphy Sympathy,"








A senate RESOLUTION

TO EXPRESS PROFOUND SORROW UPON THE PASSING OF Arthur Arnold Murphy AND TO EXTEND THE DEEPEST SYMPATHY TO HIS FAMILY AND MANY FRIENDS.

Whereas, the members of the South Carolina Senate were deeply saddened to learn of the death of Arthur Arnold Murphy on January 2, 2023; and

Whereas, a native of Robertville, Mr. Murphy was born on December 11, 1943 to parents Beatrice Murphy and Clarence Murphy, Sr.; and

Whereas, Mr. Murphy worked as the owner and operator of Repo Graphics Printing for over twenty years and worked as a printer for Davis Newspaper and Magazine Printing Company in New York City for over thirty years; and

Whereas, a civic leader, Mr. Murphy served with many community organizations, including serving as Chairman of the Jasper County Democratic Party for over twenty-five years. He served as a member of the NAACP, where he passionately advocated for social justice; and

Whereas, over the years, Mr. Murphy received a number of honors and awards, including the Dr. Martin Luther King, Jr. Garden of Light Award for Community Service, the NAACP Service Award, and the Bethel Baptist Church Award for Dedicated Service as Church Clerk. He was also invited to and attended President Barack Obama's Inauguration in 2013; and

Whereas, a devout Christian, Mr. Murphy was a member of Bethel Baptist Church, where he served as an usher and a clerk; and

Whereas, Mr. Murphy was preceded in death by his son, Gregory Murphy; and

Whereas, Mr. Murphy leaves to cherish his memory his wife, Louise Jones Murphy; his children, Kenneth Murphy and Frederick Michael Murphy; a daughter-in-law, Tanya Murphy; grandchildren, Frederick Michael Murphy Jr., Ma'lek Murphy, Jasmine Johnson, and Joi Johnson; and a devoted granddaughter of the home, Rebecca Murphy. He will be greatly missed. Now, therefore,

Be it resolved by the Senate:

That the members of the South Carolina Senate, by this resolution, express profound sorrow upon the passing of Arthur Arnold Murphy and extend the deepest sympathy to his family and many friends.

Be it further resolved that a copy of this resolution be presented to the family of Arthur Arnold Murphy.
----XX----
",Passed
1650666,Kimberly Davis appreciation,"








A senate RESOLUTION

TO RECOGNIZE AND HONOR KIMBERLY DAVIS, THE SOUTH CAROLINA COMMUNITY DEVELOPMENT OFFICER FOR WELLS FARGO, FOR THIRTY-FIVE YEARS OF OUTSTANDING SERVICE IN BANKING FOR THE ENRICHMENT OF CITIZENS THROUGHOUT THE STATE OF SOUTH CAROLINA.

Whereas, it is with great pleasure that the South Carolina Senate recognizes those individuals who give tirelessly of themselves to the welfare of this great state's and this great nation's citizenry. Kimberly Davis has served the banking needs of citizens throughout the State of South Carolina for thirty-five years, most recently as the South Carolina Community Development Officer for Wells Fargo; and

Whereas, Ms. Davis began her banking experience in the Manager Trainee Program and has served as a branch manager, credit analyst, business banker, small business banker, community development finance and community development officer in various locations in the Palmetto State; and

Whereas, a pioneer and leader in economic development and community lending, she has successfully connected banks with organizations serving underserved communities across South Carolina; and

Whereas, Ms. Davis's responsibilities with Wells Fargo included economic development initiatives to support Community Reinvestment Act strategies, thus building a stronger South Carolina for all its residents; and

Whereas, she enhanced and expanded her ability to lead in banking when she graduated from the Riley Institute Diversity Leaders Initiative at Furman University; and 

Whereas, to further encourage diversity impact in South Carolina, Ms. Davis organized and led an effort with South Carolina leaders; and

Whereas, she has served on the Board of Directors of the Columbia Chapter of Jack and Jill of America, Inc., Homeless No More and on the Board of Directors of the South Carolina Association for Community Economic Development (SCACED) serving as chairperson of SCACED's board in 2006 and 2007; and 

Whereas, Ms. Davis is also a former board member of Nehemiah Community Redevelopment, Tennessee Development Corporation, and Southern Association of Financial Empowerment (SAFE); and

Whereas, she has been honored with inclusion among South Carolina's Top 100 Black Women of Influence and was a Palmetto Center Nominee. She received the Affordable Housing Coalition of South Carolina Award, Wells Fargo Social Responsibility Group Top Performer Service Award; and

Whereas, the South Carolina Senate is deeply grateful to Kimberly Davis for her thirty-five years of meaningful service in the area of banking and finance, and the members appreciate her initiatives to achieve economic and banking diversity. Now, therefore,

Be it resolved by the Senate:

That the members of the South Carolina Senate, by this resolution, recognize and honor Kimberly Davis, the South Carolina Community Development Officer for Wells Fargo, for thirty-five years of outstanding service in banking for the enrichment of citizens throughout the State of South Carolina.

Be it further resolved that a copy of this resolution be presented to Kimberly Davis.
----XX----
",Passed
1650708,Cezar E. McKnight,"








A house RESOLUTION

TO RECOGNIZE AND COMMEND THE HONORABLE CEZAR E. MCKNIGHT OF WILLIAMSBURG COUNTY FOR HIS DEDICATED SERVICE IN THE HOUSE OF REPRESENTATIVES ON BEHALF OF HIS CONSTITUENTS AND THE CITIZENS OF SOUTH CAROLINA AND TO WISH HIM MUCH SUCCESS AND HAPPINESS IN ALL HIS FUTURE ENDEAVORS.

Whereas, the members of the South Carolina House of Representatives learned with sincere regret that Cezar E. McKnight departed from the House of Representatives at the conclusion of his term, which ended in November of 2022; and

Whereas, born in Kingstree on December 10, 1973, he is the son of Edward and Ruby McKnight, and he earned a bachelor's degree in 1996 from Morris Brown College, and a juris doctor in 2001 from Florida Coastal School of Law.  He is a member of Kappa Alpha Psi Fraternity, Incorporated; and

Whereas, in the patriotic tradition of a Palmetto son, he served in the United States Army Reserve from 1991 to 1998; and

Whereas, Cezar McKnight juggled his service as a member of the House of Representatives with his legal profession, practicing law and serving as a member of the South Carolina Trial Lawyers Association, the Black Lawyers Association, and the South Carolina Association of the Criminal Defense Lawyers.  He is a member of the Williamsburg County Bar and the Florence County Bar; and

Whereas, a faithful member of Bethesda United Methodist Church in Lake City, he is deeply involved in his community as a member of Gideon Lodge #428, P.H.A., in Andrews; the P. K. Gadegbeku Chapter #440 in Kingstree; the King Solomon Consistory #330 in Kingstree; and Crescent Temple #180 A.E.A.O.N.M.S. in Florence; and

Whereas, Cezar McKnight diligently represented the citizens of District 101 in Clarendon and Williamsburg counties in the House of Representatives since 2015, most recently serving on the Judiciary Committee and as first vice chair of the Operations and Management Committee; and

Whereas, in all of his service, he provided trustworthy and valuable counsel to his colleagues in the House; and

Whereas, the members of the House of Representatives will miss the keen contributions that Cezar McKnight, their friend and colleague, has made in the House of Representatives and hope that he will enjoy deep fulfillment in the years to come.  Now, therefore,

Be it resolved by the House of Representatives:

That the members of the South Carolina House of Representatives, by this resolution, recognize and commend the Honorable Cezar E. McKnight of Williamsburg County for his dedicated service in the House of Representatives on behalf of his constituents and the citizens of South Carolina and wish him much success and happiness in all his future endeavors.

Be it further resolved that a copy of this resolution be presented to the Honorable Cezar E. McKnight.
----XX----
",Passed
1650794,Daniel High School Band,"








A senate RESOLUTION

TO CONGRATULATE THE DANIEL HIGH SCHOOL MARCHING BAND, director, AND SCHOOL OFFICIALS ON AN OUTSTANDING SEASON AND TO HONOR THEM FOR WINNING THE SOUTH CAROLINA CLASS 3a marching band STATE CHAMPIONSHIP.

Whereas, the South Carolina Senate is proud to recognize the Daniel High School marching band for winning the South Carolina Class 3A state championship on October 29, 2022 at Westwood High School in Blythewood; and

Whereas, with an exceptional season overall, the marching band members have displayed outstanding talent and commitment to excellence during every practice and show; and

Whereas, the band performed at several games and three competitions leading up to the state championship. Wins at Wando High School, Pendleton High School, and Belton-Honea Path High School propelled the band to the state championship; and

Whereas, at the state championship, the band scored 91.55 points out of 100; and

Whereas, the Daniel High School marching band has flourished under the leadership and guidance of Director Chaz Paxton, who led the band to win state in his first year, in 2019, as well; and

Whereas, the freshmen who won state in 2019 were seniors during this year's season. Director Paxton calls them a ""catalyst"" for changing the program for the better and credits their leadership as vital to this victory; and

Whereas, the members of the South Carolina Senate appreciate the pride and recognition that the Daniel High School marching band has brought to its school and community and look forward to a future filled with further accomplishments by the band and its talented musicians. Now, therefore,

Be it resolved by the Senate:

That the members of the South Carolina Senate, by this resolution, congratulate the Daniel High School marching band, director, and school officials on an outstanding season and honor them for winning the South Carolina Class 3A marching band state championship.

Be it further resolved that a copy of this resolution be presented to the Daniel High School marching band members, Director Chaz Paxton, and Principal Gary Culler.
----XX----
",Passed
1650807,Farewell to Rep. Murray,"








A house RESOLUTION

TO RECOGNIZE AND COMMEND THE HONORABLE chardale r. murray ON HER MERITORIOUS SERVICE IN THE SOUTH CAROLINA HOUSE OF REPRESENTATIVES AND TO WISH HER CONTENTMENT AND SUCCESS IN ALL HER FUTURE ENDEAVORS.

Whereas, with faithful integrity, the Honorable Chardale R. Murray has represented the citizens of Charleston and Colleton counties, District 116 in the House of Representatives of this great State since 2021; and

Whereas, the owner and resident manager of Murray's Mortuary, Chardale Murray is the daughter of Charlie, Sr., and Lorraine Murray, and she is the mother of Bryce. This native of Charleston presently makes Hollywood, South Carolina, her home; and

Whereas, in preparation for her career, she earned her master's degree at the University of South Carolina. She also has been awarded an honorary doctorate by Canaan Bible College; and

Whereas, while a member of the House of Representatives, Chardale Murray has demonstrated her leadership abilities and commitment to governing as a member of the Interstate Cooperation Committee, as well as the Medical, Military, Public and Municipal Affairs Committee; and

Whereas, Representative Murray strongly believes in active community involvement, and she puts her convictions into action by serving her community in various capacities, including as a member of Alpha Kappa Alpha Sorority, Inc., Gamma Xi (Omega Chapter), Henrietta B. White Temple #1342 (IBPDEW), the Tuskegee Airmen (Hiram E. Mann Chapter), and the Canaan Bible College Board of Trustees; and

Whereas, on the occasion of her departure from the House of Representatives, her House colleagues, grateful for Chardale Murray's committed service to this body and the people of District 116, extend warmest best wishes for much fulfillment and happiness in this new phase of her life. Now, therefore,

Be it resolved by the House of Representatives:

That the members of the South Carolina House of Representatives, by this resolution, recognize and commend the Honorable Chardale R. Murray on her meritorious service in the South Carolina House of Representatives since 2021 and wish her contentment and success in all her future endeavors.

Be it further resolved that a copy of this resolution be presented to our distinguished colleague, the Honorable Chardale R. Murray.
----XX----
",Passed
1650833,Farewell to Rep. K. Matthews,"








A house RESOLUTION

TO COMMEND THE HONORABLE KRYSTLE N. MATTHEWS ON HER MERITORIOUS SERVICE IN THE SOUTH CAROLINA HOUSE OF REPRESENTATIVES AND TO WISH HER CONTENTMENT AND SUCCESS IN ALL HER FUTURE ENDEAVORS.

Whereas, for two years, the Honorable Krystle N. Matthews faithfully represented the citizens of Berkeley and Charleston counties, District 117, in the House of Representatives of this great State; and

Whereas, born the daughter of Robert and Elizabeth Matthews, she is a native of Sandusky, Ohio. Presently a resident of Ladson, South Carolina, Krystle Matthews serves her community as an engineering planner; and

Whereas, during her time of service in the House of Representatives, Krystle Matthews proved her worth as a member of the Medical, Military, Public and Municipal Affairs Committee, which she served as secretary, and the Operations and Management Committee, which she served as both secretary and treasurer; and

Whereas, Krystle finds strong support for her labors in her family of five: Trushaun, Brooklyn, Devin, Bryan, and Aniya; and

Whereas, on the occasion of her departure from the House of Representatives, her House colleagues, grateful for Krystle N. Matthews' committed service to this body and the people of District 117, extend warmest best wishes for much fulfillment and happiness in this new phase of her life. Now, therefore,

Be it resolved by the House of Representatives:

That the members of the South Carolina House of Representatives, by this resolution, commend the Honorable Krystle N. Matthews on her meritorious service in the South Carolina House of Representatives and wish her contentment and success in all her future endeavors.

Be it further resolved that a copy of this resolution be presented to Krystle N. Matthews.
----XX----
",Passed
